id,Class,Order,Family,Genus,Species,Sub species,Common Name,Region,Decimal Latitude,Decimal Longitude,Are coordinates for specific location?,system,biome,realm,Native,Alien,Invasive,Units,Sampling method,Data transformed,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
8619,Reptilia,Crocodylia,Crocodylidae,Crocodylus,acutus,,American crocodile,North America,25.31667,-80.93333,FALSE,Freshwater,Tropical and subtropical coastal rivers,Neotropical,Yes,No,No,Total number of nests,Surveys by motorboat airboat jon boat canoe foot and helicopter,No,,,,,,,,,11,12,11,9,5,,,10,12,18,9,20,10,19,12,18,19,21,,12,12,13,23,24,21,37,53,,,,,,,,,,
8620,Reptilia,Crocodylia,Crocodylidae,Crocodylus,acutus,,American crocodile,North America,25.33333,-80.33333,FALSE,Freshwater,Tropical and subtropical coastal rivers,Neotropical,Yes,No,No,Total number of nests,Surveys by motorboat airboat jon boat canoe foot and helicopter,No,,,,,,,,,2,1,0,1,0,1,2,2,3,4,3,5,10,8,15,12,11,19,19,18,15,12,19,17,19,18,19,,,,,,,,,,
8621,Reptilia,Crocodylia,Crocodylidae,Crocodylus,acutus,,American crocodile,North America,25.26859,-80.3344,FALSE,Freshwater,Tropical and subtropical coastal rivers,Neotropical,Yes,No,No,Total number of nests,Surveys by motorboat airboat jon boat canoe foot and helicopter,No,,,,,,,,,8,7,5,5,7,5,4,6,7,7,10,8,7,7,7,7,9,8,9,9,8,10,11,9,7,8,9,,,,,,,,,,
8748,Reptilia,Testudines,Cheloniidae,Caretta,caretta,,Loggerhead sea turtle / Loggerhead turtle,North America,30.95056,-81.40306,FALSE,Marine,Unknown,Atlantic tropical and subtropical,Yes,No,No,Number of turtles,Beach patrolled at 45-75 minute intervals from dusk to dawn each night from mid-May to early August.,No,,,,,46,51,40,42,51,45,36,53,62,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8777,Reptilia,Squamata,Crotaphytidae,Gambelia,sila,,Blunt-nosed leopard lizard,North America,35.26833,-120.64806,FALSE,Terrestrial,Mediterranean forests woodlands and scrub,Nearctic,Yes,No,No,Population estimate,Capture-resight censuses on two 8.1-ha plots 1.6km from each other.,No,,,,,,,,,,,,,,,,,,,,40,20,46,67,164,110,,,,,,,,,,,,,,,,,,,,
8778,Reptilia,Squamata,Crotaphytidae,Gambelia,sila,,Blunt-nosed leopard lizard,North America,35.26833,-120.64806,FALSE,Terrestrial,Mediterranean forests woodlands and scrub,Nearctic,Yes,No,No,Population estimate,Capture-resight censuses on two 8.1-ha plots 1.6km from each other.,No,,,,,,,,,,,,,,,,,,,,24,19,28,45,73,42,,,,,,,,,,,,,,,,,,,,
8781,Reptilia,Squamata,Colubridae,Lampropeltis,getula,,Common kingsnake,North America,33.23333,-81.66667,FALSE,Terrestrial,Temperate coniferous forests,Nearctic,Yes,No,No,L.getula % of total snakes caught,Terrestrial drift fences with funnel and pitfall traps coverboard captures aquatic funnel traps and 'other' captures,No,,,,,,7,10,17,6,15,12,5,,,4.5,5,6.5,5.5,2,,,7,7,3,17,4,,,,,,,,0.2,,0.1,,,,,,,,,
8800,Reptilia,Squamata,Colubridae,Farancia,abacura,,Mud snake,North America,33.23333,-82.5,FALSE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number resident,Aquatic minnow traps,No,,,,,,,,,,,,,,1,4,26,4,5,,,,,2,,,,,,,,,,,,,,,,,,,,,,
8808,Reptilia,Squamata,Colubridae,Farancia,erytrogramma,,Rainbow snake,North America,33.23333,-81.66667,FALSE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number resident,Aquatic minnow traps,No,,,,,,,,,,,,,,0,8,0,2,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,
8810,Reptilia,Squamata,Colubridae,Nerodia,fasciata,,Southern water snake,North America,33.23333,-81.66667,FALSE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number resident,Aquatic minnow traps,No,,,,,,,,,,,,,,3,17,58,19,23,,,,,15,,,,,,,,,,,,,,,,,,,,,,
8811,Reptilia,Squamata,Colubridae,Nerodia,floridana,,Florida green water snake,North America,33.23333,-81.66667,FALSE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number resident,Aquatic minnow traps,No,,,,,,,,,,,,,,6,27,16,6,19,,,,,0,,,,,,,,,,,,,,,,,,,,,,
8812,Reptilia,Squamata,Colubridae,Liodytes,pygaea,,Black swamp snake,North America,33.23333,-81.66667,FALSE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number resident,Aquatic minnow traps,No,,,,,,,,,,,,,,28,104,46,25,32,,,,,31,,,,,,,,,,,,,,,,,,,,,,
8950,Reptilia,Squamata,Phrynosomatidae,Uta,stansburiana,,Common side-blotched lizard,North America,35.41667,-115.45,FALSE,Terrestrial,Deserts and xeric shrublands,Nearctic,Yes,No,No,Spring density, n/ha Plot surveys,No,55,44,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8951,Reptilia,Squamata,Phrynosomatidae,Uta,stansburiana,,Common side-blotched lizard,North America,35.41667,-115.45,FALSE,Terrestrial,Deserts and xeric shrublands,Nearctic,Yes,No,No,Spring density, n/ha Plot surveys,No,52,18,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8952,Reptilia,Squamata,Phrynosomatidae,Uta,stansburiana,,Common side-blotched lizard,North America,35.41667,-115.45,FALSE,Terrestrial,Deserts and xeric shrublands,Nearctic,Yes,No,No,Spring density, n/ha Plot surveys,No,55,57,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8953,Reptilia,Squamata,Phrynosomatidae,Uta,stansburiana,,Common side-blotched lizard,North America,35.41667,-115.45,FALSE,Terrestrial,Deserts and xeric shrublands,Nearctic,Yes,No,No,Spring density, n/ha Plot surveys,No,32,30,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8954,Reptilia,Squamata,Phrynosomatidae,Uta,stansburiana,,Common side-blotched lizard,North America,31.95,-99.88333,FALSE,Terrestrial,Temperate grasslands savannas and shrublands,Nearctic,Yes,No,No,Number of adults,Unspecified,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8955,Reptilia,Squamata,Phrynosomatidae,Uta,stansburiana,,Common side-blotched lizard,North America,31.95,-99.88333,FALSE,Terrestrial,Temperate grasslands savannas and shrublands,Nearctic,Yes,No,No,Number of adults,Unspecified,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8956,Reptilia,Testudines,Emydidae,Terrapene,ornata,,Ornate box turtle,North America,43.2,-89.75,FALSE,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,Yes,No,No,Population size,Mark-release-recapture,No,,,,,,,,,25,50,32,40,40,45,27,35,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8966,Reptilia,Testudines,Emydidae,Chrysemys,picta,,Painted turtle,North America,41.35,-85.76667,FALSE,Freshwater,Large lakes,Nearctic,Yes,No,No,Turtles per year,Trapping,No,,,,,,,,,,,,,,,,,,,,,,,200,225,310,250,160,175,130,175,225,165,55,125,,,,,,,,,,,
9075,Reptilia,Testudines,Cheloniidae,Lepidochelys,kempii,,Kemp's ridley turtle,North America,29.66667,-93.86667,FALSE,Marine,Unknown,Atlantic tropical and subtropical,Yes,No,No,CPUE (number captured/km-hr),91.4 m long entanglement nets of different depths and mesh sizes. Capture operations were conducted for at least 1 week per month  with a minimum of 3 netting days.,No,,,,,,,,,,,,,,,,,,,,,,,0.2,0.8,1.1,0.7,0.7,1.1,0.6,,,,,,,,,,,,,,,,
9076,Reptilia,Testudines,Cheloniidae,Lepidochelys,kempii,,Kemp's ridley turtle,North America,29.71667,-93.73333,FALSE,Marine,Unknown,Atlantic tropical and subtropical,Yes,No,No,CPUE (number captured/km-hr),91.4 m long entanglement nets of different depths and mesh sizes. Capture operations were conducted for at least 1 week per month  with a minimum of 3 netting days.,No,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.7,0.7,,,0.5,,,,,,,,,,,,,,,,
