id,Class,Order,Family,Genus,Species,Sub species,Common Name,Region,Decimal Latitude,Decimal Longitude,Are coordinates for specific location?,system,biome,realm,Native,Alien,Invasive,Units,Sampling method,Data transformed,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
936,Amphibia,Anura,Bufonidae,Anaxyrus,terrestris,,Southern toad,North America,29.68333,-82,TRUE,Freshwater,Tropical and subtropical coastal rivers,Nearctic,Yes,No,No,Number of adults,General count,No,,,,,,,,,,,,,,,,71,63,109,23,83,31,,,,,,,,,,,,,,,,,,,,,,,,
937,Amphibia,Anura,Bufonidae,Anaxyrus,terrestris,,Southern toad,North America,33.27806,-81.72944,TRUE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,,,,,,,,,,110,10,10,90,50,40,10,8,80,5,5,4,190,30,120,30,,,,,,,,,,,,,,,,,,,,
938,Amphibia,Caudata,Plethodontidae,Desmognathus,aeneus,,Seepage salamander,North America,35.06583,-83.46111,TRUE,Freshwater,Temperate upland rivers,Nearctic,Yes,No,No,Number of observed individuals,Count,No,,,,,,9,8,7,7,5,5,4,9,8,8,5,3,5,5,18,10,,,,,,,,,,,,,,,,,,,,,,,,
939,Amphibia,Caudata,Plethodontidae,Desmognathus,monticola,,Seal salamander,North America,35.06583,-83.46111,TRUE,Freshwater,Temperate upland rivers,Nearctic,Yes,No,No,Number of observed individuals,Count,No,,,,,,25,27,22,21,22,35,20,22,45,25,35,25,20,30,20,30,,,,,,,,,,,,,,,,,,,,,,,,
940,Amphibia,Caudata,Plethodontidae,Desmognathus,ochrophaeus,,Allegheny Mountain dusky salamander,North America,35.06583,-83.46111,TRUE,Freshwater,Temperate upland rivers,Nearctic,Yes,No,No,Number of observed individuals,Count,No,,,,,,14,15,18,17,12,18,10,21,8,15,14,17,25,27,21,25,,,,,,,,,,,,,,,,,,,,,,,,
941,Amphibia,Caudata,Plethodontidae,Desmognathus,quadramaculatus,,Blackbelly salamander,North America,35.06583,-83.46111,TRUE,Freshwater,Temperate upland rivers,Nearctic,Yes,No,No,Number of observed individuals,Count,No,,,,,,6,7,5,5,5,12,7,7,11,10,10,13,2,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,
942,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus,planirostris,,Greenhouse frog,North America,29.68333,-82,TRUE,Freshwater,Tropical and subtropical coastal rivers,Nearctic,No,Yes,No,Total number of individuals caught (marked and unmarked),Capture-release. Counts using marks,No,,,,,,,,,,,,,,,,,1,2,4,2,8,,,,,,,,,,,,,,,,,,,,,,,,
943,Amphibia,Caudata,Plethodontidae,Eurycea,nana,,San Marcos salamander,North America,29.99167,-98.09972,FALSE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Individuals,Unknown census method,No,,,,,,,19000,,,,,,,,,,,,,,,,,23000,,,,,,,,,,,,,,,,,,,,,
944,Amphibia,Caudata,Plethodontidae,Eurycea,quadridigitata,,Dwarf salamander,North America,33.27806,-81.72944,TRUE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,,,,,,,,,,100,200,100,200,200,600,5400,400,100,350,50,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
945,Amphibia,Caudata,Plethodontidae,Eurycea,quadridigitata,,Dwarf salamander,North America,29.68333,-82,TRUE,Freshwater,Tropical and subtropical coastal rivers,Nearctic,Yes,No,No,Total number of individuals caught (marked and unmarked),Capture-release. Counts using marks,No,,,,,,,,,,,,,,,,,10,8,30,5,85,,,,,,,,,,,,,,,,,,,,,,,,
946,Amphibia,Anura,Microhylidae,Gastrophryne,carolinensis,,Eastern narrowmouth toad,North America,29.68333,-82,TRUE,Freshwater,Tropical and subtropical coastal rivers,Nearctic,Yes,No,No,Total number of individuals caught (marked and unmarked),Capture-release. Counts using marks,No,,,,,,,,,,,,,,,,,2758,653,1224,917,188,,,,,,,,,,,,,,,,,,,,,,,,
947,Amphibia,Anura,Microhylidae,Gastrophryne,carolinensis,,Eastern narrowmouth toad,North America,29.68333,-82,TRUE,Freshwater,Tropical and subtropical coastal rivers,Nearctic,Yes,No,No,Total number of individuals caught (marked and unmarked),Capture-release. Counts using marks,No,,,,,,,,,,,,,,,,,853,378,878,625,121,,,,,,,,,,,,,,,,,,,,,,,,
948,Amphibia,Anura,Microhylidae,Gastrophryne,carolinensis,,Eastern narrowmouth toad,North America,33.27806,-81.72944,TRUE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,,,,,,,,,,400,100,1210,350,100,75,75,100,100,50,75,50,150,150,50,75,81,,,,,,,,,,,,,,,,,,,
949,Amphibia,Anura,Hylidae,Dryophytes,femoralis,,Pine woods treefrog,North America,29.68333,-82,TRUE,Freshwater,Tropical and subtropical coastal rivers,Nearctic,Yes,No,No,Total number of individuals caught (marked and unmarked),Capture-release. Counts using marks,No,,,,,,,,,,,,,,,,,4,41,8,99,1,,,,,,,,,,,,,,,,,,,,,,,,
950,Amphibia,Anura,Hylidae,Dryophytes,femoralis,,Pine woods treefrog,North America,29.68333,-82,TRUE,Freshwater,Tropical and subtropical coastal rivers,Nearctic,Yes,No,No,Total number of individuals caught (marked and unmarked),Capture-release. Counts using marks,No,,,,,,,,,,,,,,,,,4,37,38,96,1,,,,,,,,,,,,,,,,,,,,,,,,
952,Amphibia,Caudata,Salamandridae,Notophthalmus,perstriatus,,Striped newt,North America,29.68333,-82,TRUE,Freshwater,Tropical and subtropical coastal rivers,Nearctic,Yes,No,No,Total number of individuals caught (marked and unmarked),Capture-release. Counts using marks,No,,,,,,,,,,,,,,,,,867,970,425,197,30,,,,,,,,,,,,,,,,,,,,,,,,
953,Amphibia,Caudata,Salamandridae,Notophthalmus,viridescens,louisianensis,Eastern newt,North America,41.72556,-85.85278,TRUE,Freshwater,Temperate floodplain rivers and wetlands,Nearctic,Yes,No,No,Number of individuals captured,Count - Drift fence / pitfall traps,No,,,,,,,,,,,,,,,,,,,,,,12,13,8,9,7,,,,,,,,,,,,,,,,,,,
954,Amphibia,Caudata,Salamandridae,Notophthalmus,viridescens,,Eastern newt,North America,33.27806,-81.72944,TRUE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,,,,,,,,,,50,100,400,500,600,800,200,3000,2500,700,500,600,200,200,300,200,100,,,,,,,,,,,,,,,,,,,
955,Amphibia,Caudata,Plethodontidae,Plethodon,glutinosus,,Slimy salamander,North America,35.57222,-83.18167,TRUE,Freshwater,Temperate upland rivers,Nearctic,Yes,No,No,Number of observed individuals,Count,No,,,,,,3,5,20,12,15,13,2,5,15,10,4,10,15,15,12,13,,,,,,,,,,,,,,,,,,,,,,,,
956,Amphibia,Caudata,Plethodontidae,Plethodon,jordani,,Jordan's salamander,North America,35.26499,-82.89183,TRUE,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,Yes,No,No,Number of adults,Capture - mark study,No,,,,,25,32,30,37,35,35,30,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,Amphibia,Caudata,Plethodontidae,Plethodon,jordani,,Jordan's salamander,North America,35.57222,-83.18139,TRUE,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,Yes,No,No,Number of adults observed,Count,No,,,,,,44,45,65,70,70,50,50,30,50,50,70,50,60,55,50,60,,,,,,,,,,,,,,,,,,,,,,,,
958,Amphibia,Anura,Hylidae,Pseudacris,crucifer,,Spring peeper / Northern spring peeper,North America,41.72556,-85.85278,TRUE,Freshwater,Temperate floodplain rivers and wetlands,Nearctic,Yes,No,No,Number of individuals captured,Count - Drift fence / pitfall traps,No,,,,,,,,,,,,,,,,,,,,,,4,2,11,15,2,,,,,,,,,,,,,,,,,,,
959,Amphibia,Anura,Hylidae,Pseudacris,crucifer,,Spring peeper / Northern spring peeper,North America,33.27806,-81.72944,TRUE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,,,,,,,,,,20,140,150,40,380,500,320,120,50,0,50,70,20,600,40,20,8,,,,,,,,,,,,,,,,,,,
960,Amphibia,Anura,Hylidae,Pseudacris,nigrita,,Southern chorus frog,North America,33.27806,-81.72944,TRUE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,,,,,,,,,,55,58,60,55,35,15,30,12,0,2,4,0,2,2,0,2,3,,,,,,,,,,,,,,,,,,,
961,Amphibia,Anura,Hylidae,Pseudacris,ocularis,,Little grass frog,North America,29.68333,-82,TRUE,Freshwater,Tropical and subtropical coastal rivers,Nearctic,Yes,No,No,Total number of individuals caught (marked and unmarked),Capture-release. Counts using marks,No,,,,,,,,,,,,,,,,,20,49,39,49,1,,,,,,,,,,,,,,,,,,,,,,,,
962,Amphibia,Anura,Hylidae,Pseudacris,ocularis,,Little grass frog,North America,29.68333,-82,TRUE,Freshwater,Tropical and subtropical coastal rivers,Nearctic,Yes,No,No,Total number of individuals caught (marked and unmarked),Capture-release. Counts using marks,No,,,,,,,,,,,,,,,,,20,48,5,43,1,,,,,,,,,,,,,,,,,,,,,,,,
963,Amphibia,Anura,Hylidae,Pseudacris,ornata,,Ornate chorus frog,North America,33.27806,-81.72944,TRUE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,,,,,,,,,,100,10,100,275,375,275,60,150,50,20,10,100,10,20,30,20,0,,,,,,,,,,,,,,,,,,,
964,Amphibia,Anura,Hylidae,Pseudacris,maculata,,Boreal chorus frog,North America,40.66639,-105.46722,TRUE,Freshwater,Temperate floodplain rivers and wetlands,Nearctic,Yes,No,No,Number of males,Mark-recapture,No,,,,,,,,,,,,,,,,,41,39,106,,,,,,,,,,,,,,,,,,,,,,,,,,
965,Amphibia,Anura,Hylidae,Pseudacris,maculata,,Boreal chorus frog,North America,40.59556,-105.845,TRUE,Freshwater,Temperate floodplain rivers and wetlands,Nearctic,Yes,No,No,Number of males,Mark-recapture,No,,,,,,,,,,,,,,,,,99,36,46,,,,,,,,,,,,,,,,,,,,,,,,,,
966,Amphibia,Anura,Hylidae,Pseudacris,maculata,,Boreal chorus frog,North America,41.72556,-87.85278,TRUE,Freshwater,Temperate floodplain rivers and wetlands,Nearctic,Yes,No,No,Number of individuals captured,Count - Drift fence / pitfall traps,No,,,,,,,,,,,,,,,,,,,,,,5,1,2,16,3,,,,,,,,,,,,,,,,,,,
